Fanny;Fanynoob;team2
Bastien;Bastou;team1
Nevin;EtienneCognac;team1
Fred;Fredilol;team2
Mush;RoseMush;team2
Thomas;TomTom;team2
Vincent;Faddanoob;team1
Romain;Romanoob;team1
Clark Kent;Superman;team2
